# Dit is de header (eerste regel) 
# Schaal parameter horizontaal: 	 50.000000
# Schaal parameter verticaal  : 	 0.120000
#      i 	       x 	   sin_x
      0 	 -6.2832 	  0.0000 
      1 	 -5.6218 	  0.6142 
      2 	 -4.9604 	  0.9694 
      3 	 -4.2990 	  0.9158 
      4 	 -3.6376 	  0.4759 
      5 	 -2.9762 	 -0.1646 
      6 	 -2.3149 	 -0.7357 
      7 	 -1.6535 	 -0.9966 
      8 	 -0.9921 	 -0.8372 
      9 	 -0.3307 	 -0.3247 
     10 	  0.3307 	  0.3247 
     11 	  0.9921 	  0.8372 
     12 	  1.6535 	  0.9966 
     13 	  2.3149 	  0.7357 
     14 	  2.9762 	  0.1646 
     15 	  3.6376 	 -0.4759 
     16 	  4.2990 	 -0.9158 
     17 	  4.9604 	 -0.9694 
     18 	  5.6218 	 -0.6142 
     19 	  6.2832 	 -0.0000 
